ID,Site,Morph,Type,Variety,ForestArea,Height,Diameter,HerbivRate,TotalFlower,DevRate,SeedSet,AvgMass,SiteYield,SiteYield_Root
A_P01_F1,A,Pin,Flower,Kitawase,3.52,85.5,6.48,70.45,3175,1.32,2.65,0.0299,49.72571583,7.051646321
A_P01_F2,A,Pin,Flower,Kitawase,3.52,85.5,6.48,70.45,3175,1.32,2.65,0.0299,49.72571583,7.051646321
A_P01_L1,A,Pin,Leaf,Kitawase,3.52,85.5,6.48,70.45,3175,1.32,2.65,0.0299,49.72571583,7.051646321
A_P01_L2,A,Pin,Leaf,Kitawase,3.52,85.5,6.48,70.45,3175,1.32,2.65,0.0299,49.72571583,7.051646321
A_P02_F1,A,Pin,Flower,Kitawase,3.52,119.8,5.45,50,2121,1.56,2.78,0.0325,49.72571583,7.051646321
A_P02_F2,A,Pin,Flower,Kitawase,3.52,119.8,5.45,50,2121,1.56,2.78,0.0325,49.72571583,7.051646321
A_P02_L1,A,Pin,Leaf,Kitawase,3.52,119.8,5.45,50,2121,1.56,2.78,0.0325,49.72571583,7.051646321
A_P02_L2,A,Pin,Leaf,Kitawase,3.52,119.8,5.45,50,2121,1.56,2.78,0.0325,49.72571583,7.051646321
A_P03_F1,A,Pin,Flower,Kitawase,3.52,128.2,6.21,68,2868,3.38,4.67,0.0273,49.72571583,7.051646321
A_P03_F2,A,Pin,Flower,Kitawase,3.52,128.2,6.21,68,2868,3.38,4.67,0.0273,49.72571583,7.051646321
A_P03_L1,A,Pin,Leaf,Kitawase,3.52,128.2,6.21,68,2868,3.38,4.67,0.0273,49.72571583,7.051646321
A_P03_L2,A,Pin,Leaf,Kitawase,3.52,128.2,6.21,68,2868,3.38,4.67,0.0273,49.72571583,7.051646321
A_T01_F1,A,Thrum,Flower,Kitawase,3.52,130.1,6.29,75.56,2818,1.06,2.13,0.03,49.72571583,7.051646321
A_T01_F2,A,Thrum,Flower,Kitawase,3.52,130.1,6.29,75.56,2818,1.06,2.13,0.03,49.72571583,7.051646321
A_T01_L1,A,Thrum,Leaf,Kitawase,3.52,130.1,6.29,75.56,2818,1.06,2.13,0.03,49.72571583,7.051646321
A_T01_L2,A,Thrum,Leaf,Kitawase,3.52,130.1,6.29,75.56,2818,1.06,2.13,0.03,49.72571583,7.051646321
A_T02_F1,A,Thrum,Flower,Kitawase,3.52,110.9,5.43,72.41,3219,1.3,2.39,0.0227,49.72571583,7.051646321
A_T02_F2,A,Thrum,Flower,Kitawase,3.52,110.9,5.43,72.41,3219,1.3,2.39,0.0227,49.72571583,7.051646321
A_T02_L1,A,Thrum,Leaf,Kitawase,3.52,110.9,5.43,72.41,3219,1.3,2.39,0.0227,49.72571583,7.051646321
A_T02_L2,A,Thrum,Leaf,Kitawase,3.52,110.9,5.43,72.41,3219,1.3,2.39,0.0227,49.72571583,7.051646321
A_T03_F1,A,Thrum,Flower,Kitawase,3.52,101.1,5.92,64.52,2403,1.17,2.95,0.0371,49.72571583,7.051646321
A_T03_F2,A,Thrum,Flower,Kitawase,3.52,101.1,5.92,64.52,2403,1.17,2.95,0.0371,49.72571583,7.051646321
A_T03_L1,A,Thrum,Leaf,Kitawase,3.52,101.1,5.92,64.52,2403,1.17,2.95,0.0371,49.72571583,7.051646321
A_T03_L2,A,Thrum,Leaf,Kitawase,3.52,101.1,5.92,64.52,2403,1.17,2.95,0.0371,49.72571583,7.051646321
B_P01_F1,B,Pin,Flower,Kitawase,27.31,131.4,4.76,36,1618,2.22,3.65,0.0275,12.51378656,3.537483083
B_P01_F2,B,Pin,Flower,Kitawase,27.31,131.4,4.76,36,1618,2.22,3.65,0.0275,12.51378656,3.537483083
B_P01_L1,B,Pin,Leaf,Kitawase,27.31,131.4,4.76,36,1618,2.22,3.65,0.0275,12.51378656,3.537483083
B_P01_L2,B,Pin,Leaf,Kitawase,27.31,131.4,4.76,36,1618,2.22,3.65,0.0275,12.51378656,3.537483083
B_P02_F1,B,Pin,Flower,Kitawase,27.31,135,5.32,54.76,2490,2.93,4.82,0.0278,12.51378656,3.537483083
B_P02_F2,B,Pin,Flower,Kitawase,27.31,135,5.32,54.76,2490,2.93,4.82,0.0278,12.51378656,3.537483083
B_P02_L1,B,Pin,Leaf,Kitawase,27.31,135,5.32,54.76,2490,2.93,4.82,0.0278,12.51378656,3.537483083
B_P02_L2,B,Pin,Leaf,Kitawase,27.31,135,5.32,54.76,2490,2.93,4.82,0.0278,12.51378656,3.537483083
B_P03_F1,B,Pin,Flower,Kitawase,27.31,137.4,5.41,23.81,1831,1.75,2.95,0.0303,12.51378656,3.537483083
B_P03_F2,B,Pin,Flower,Kitawase,27.31,137.4,5.41,23.81,1831,1.75,2.95,0.0303,12.51378656,3.537483083
B_P03_L1,B,Pin,Leaf,Kitawase,27.31,137.4,5.41,23.81,1831,1.75,2.95,0.0303,12.51378656,3.537483083
B_P03_L2,B,Pin,Leaf,Kitawase,27.31,137.4,5.41,23.81,1831,1.75,2.95,0.0303,12.51378656,3.537483083
B_T01_F1,B,Thrum,Flower,Kitawase,27.31,132.8,5.64,47.06,2248,2.49,3.65,0.0279,12.51378656,3.537483083
B_T01_F2,B,Thrum,Flower,Kitawase,27.31,132.8,5.64,47.06,2248,2.49,3.65,0.0279,12.51378656,3.537483083
