Taxon,Abun,Abun_r,Order
Orthoptera,10,0.013605442,Other
Fly,127,0.172789116,Diptera
Ichneumonidae,6,0.008163265,Other
Cecidomyiidae,74,0.100680272,Diptera
FormicidaeWing,8,0.010884354,Hymenoptera
Apoidea,38,0.05170068,Hymenoptera
Hemiptera,12,0.016326531,Other
Homoptera,39,0.053061224,Other
Psocoptera,10,0.013605442,Other
Lepidoptera,76,0.103401361,Other
FormicidaeNoWing,22,0.029931973,Hymenoptera
Mordellistena,4,0.005442177,Other
Sciaridae,121,0.16462585,Diptera
Ceratopogonidae,16,0.021768707,Diptera
Thysanoptera,31,0.042176871,Other
NonFlying,4,0.005442177,Other
Mymaridae,46,0.062585034,Hymenoptera
Wasp,14,0.019047619,Hymenoptera
Coleoptera,50,0.068027211,Other
Ceraphronoidea,12,0.016326531,Hymenoptera
Tipulidae,5,0.006802721,Other
Arachnid,6,0.008163265,Other
Aphid,4,0.005442177,Other
