Taxon,Abun,Abun_r,Order
バッタ,10,0.013605442,他
ハエ,127,0.172789116,ハエ目
ヒメバチ,6,0.008163265,他
タマバエ,74,0.100680272,ハエ目
飛べるアリ,8,0.010884354,ハチ目
ハチ,38,0.05170068,ハチ目
カメムシ,51,0.069387755,他
チャタテムシ,10,0.013605442,他
チョウ,76,0.103401361,他
飛べないアリ,22,0.029931973,ハチ目
ハナノミ,4,0.005442177,他
クロバネキノコバエ,121,0.16462585,ハエ目
ヌカカ,16,0.021768707,ハエ目
アザミウマ,31,0.042176871,他
他,4,0.005442177,他
ホソハネコバチ,46,0.062585034,ハチ目
スズメバチ,14,0.019047619,ハチ目
コウチュウ類,50,0.068027211,他
ヒゲナガクロバチ,12,0.016326531,ハチ目
ガガンボ,5,0.006802721,他
クモ,6,0.008163265,他
アブラムシ,4,0.005442177,他
