Site,Orthoptera,Fly,Ichneumonidae,Cecidomyiidae,FormicidaeWing,Apoidea,Hemiptera,Homoptera,Psocoptera,Lepidoptera,FormicidaeNoWing,Mordellistena,Sciaridae,Ceratopogonidae,Thysanoptera,NonFlying,Mymaridae,Wasp,Coleoptera,Ceraphronoidea,Tipulidae,Arachnid,Aphid
AW,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW,0,9,0,5,0,1,4,3,1,1,3,2,3,1,6,1,1,0,0,0,0,0,0
BY,3,3,0,0,1,0,0,2,0,1,1,2,1,0,0,2,0,1,2,2,0,0,0
CW,1,6,0,6,0,5,0,2,0,3,0,0,13,1,7,0,22,0,2,0,3,0,0
CY,1,18,0,1,2,3,0,1,5,5,1,0,9,0,6,1,14,2,1,1,1,1,0
DW,2,26,0,3,1,5,0,0,0,4,0,0,2,0,0,0,0,1,0,2,0,0,0
DY,0,18,0,0,1,2,0,3,0,4,13,0,0,1,0,0,0,0,1,2,0,0,0
EW,1,15,1,34,2,16,1,14,2,27,1,0,16,0,12,0,2,4,33,3,1,0,4
EY,0,9,2,19,0,6,0,7,2,27,0,0,9,5,0,0,7,4,7,2,0,2,0
FW,1,4,0,2,0,0,6,5,0,1,3,0,33,6,0,0,0,0,2,0,0,3,0
FY,0,13,1,0,0,0,1,2,0,3,0,0,35,2,0,0,0,2,2,0,0,0,0
