No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower
1,E,Horiminori,Pin,E-P01,19.64,385.73,13.64,186.05,242
2,E,Horiminori,Pin,E-P01,6.53,42.64,4.76,22.66,24
3,E,Horiminori,Pin,E-P01,4.94,24.4,2.82,7.95,4
4,E,Horiminori,Pin,E-P01,4.9,24.01,2.24,5.02,5
5,E,Horiminori,Pin,E-P01,5.87,34.46,4.66,21.72,8
6,E,Horiminori,Pin,E-P01,5.27,27.77,3.13,9.8,12
7,E,Horiminori,Pin,E-P01,7.09,50.27,4.3,18.49,11
8,E,Horiminori,Pin,E-P01,11.95,142.8,7.55,57,15
9,E,Horiminori,Pin,E-P01,18.69,349.32,5.44,29.59,67
10,E,Horiminori,Pin,E-P01,16.26,264.39,3.9,15.21,NA
11,E,Horiminori,Pin,E-P01,7.56,57.15,4.62,21.34,NA
12,E,Horiminori,Pin,E-P01,11.72,137.36,5.2,27.04,NA
13,E,Horiminori,Pin,E-P02,16.51,272.58,6.27,39.31,65
14,E,Horiminori,Pin,E-P02,2.79,7.78,6.57,43.16,8
15,E,Horiminori,Pin,E-P02,22.25,495.06,7.62,58.06,78
16,E,Horiminori,Pin,E-P02,21.13,446.48,6.76,45.7,83
17,E,Horiminori,Pin,E-P03,13.31,177.16,18.89,356.83,NA
18,E,Horiminori,Pin,E-P03,15.09,227.71,5.42,29.38,NA
19,E,Horiminori,Pin,E-P03,12.46,155.25,6.68,44.62,NA
20,E,Horiminori,Pin,E-P03,16.45,270.6,6.89,47.47,NA
21,E,Horiminori,Pin,E-P03,11.82,139.71,5.59,31.25,NA
22,E,Horiminori,Pin,E-P03,7.94,63.04,4.97,24.7,NA
23,E,Horiminori,Pin,E-P03,15.71,246.8,5.34,28.52,NA
24,E,Horiminori,Pin,E-P03,7.88,62.09,7.9,62.41,NA
25,E,Horiminori,Pin,E-P03,13.57,184.14,6.51,42.38,76
26,E,Horiminori,Pin,E-P03,13.42,180.1,4.37,19.1,108
27,E,Horiminori,Pin,E-P03,15.49,239.94,5.03,25.3,95
28,E,Horiminori,Pin,E-P03,14.77,218.15,9.89,97.81,213
29,E,Horiminori,Thrum,E-T01,5.25,27.56,5.34,28.52,NA
30,E,Horiminori,Thrum,E-T01,6.39,40.83,4.58,20.98,NA
31,E,Horiminori,Thrum,E-T01,5.27,27.77,5.37,28.84,NA
32,E,Horiminori,Thrum,E-T01,21.84,476.99,7,49,NA
33,E,Horiminori,Thrum,E-T01,14.9,222.01,6.35,40.32,NA
34,E,Horiminori,Thrum,E-T01,13.95,194.6,6.6,43.56,NA
35,E,Horiminori,Thrum,E-T01,12.26,150.31,9.68,93.7,NA
36,E,Horiminori,Thrum,E-T01,16.93,286.62,11.34,128.6,NA
37,E,Horiminori,Thrum,E-T01,16.28,265.04,13.42,180.1,NA
38,E,Horiminori,Thrum,E-T01,17.84,318.27,16.6,275.56,360
39,E,Horiminori,Thrum,E-T01,5.76,33.18,5.32,28.3,30
40,E,Horiminori,Thrum,E-T01,NA,NA,NA,NA,195
41,E,Horiminori,Thrum,E-T01,7.05,49.7,6.95,48.3,40
42,E,Horiminori,Thrum,E-T01,7.79,60.68,10.88,118.37,95
43,E,Horiminori,Thrum,E-T02,7.89,62.25,4.3,18.49,9
44,E,Horiminori,Thrum,E-T02,4.27,18.23,8.83,77.97,NA
45,E,Horiminori,Thrum,E-T02,20.32,412.9,7.73,59.75,NA
46,E,Horiminori,Thrum,E-T02,15.41,237.47,7.49,56.1,NA
47,E,Horiminori,Thrum,E-T02,16.27,264.71,7.3,53.29,NA
48,E,Horiminori,Thrum,E-T02,17.25,297.56,7.22,52.13,NA
49,E,Horiminori,Thrum,E-T02,9.78,95.65,4.88,23.81,41
50,E,Horiminori,Thrum,E-T02,14.59,212.87,9.2,84.64,170
51,E,Horiminori,Thrum,E-T02,11.68,136.42,9.89,97.81,112
52,E,Horiminori,Thrum,E-T02,19.91,396.41,17.91,320.77,224
53,E,Horiminori,Thrum,E-T03,6.39,40.83,3.59,12.89,11
54,E,Horiminori,Thrum,E-T03,15.56,242.11,5.46,29.81,NA
55,E,Horiminori,Thrum,E-T03,16.83,283.25,5.54,30.69,NA
56,E,Horiminori,Thrum,E-T03,13.95,194.6,4.35,18.92,NA
57,E,Horiminori,Thrum,E-T03,19.07,363.66,4.38,19.18,NA
58,E,Horiminori,Thrum,E-T03,15.64,244.61,12.45,155,NA
59,E,Horiminori,Thrum,E-T03,4.19,17.56,2.77,7.67,5
60,E,Horiminori,Thrum,E-T03,17.08,291.73,4.82,23.23,54
61,E,Horiminori,Thrum,E-T03,9.96,99.2,4.98,24.8,30
62,E,Horiminori,Thrum,E-T03,18.8,353.44,7.98,63.68,77
63,D,Horiminori,Pin,D-P01,6.85,46.92,3.65,13.32,26
64,D,Horiminori,Pin,D-P01,15.5,240.25,8.95,80.1,NA
65,D,Horiminori,Pin,D-P01,7.91,62.57,2.85,8.12,NA
66,D,Horiminori,Pin,D-P01,6.21,38.56,3.2,10.24,NA
67,D,Horiminori,Pin,D-P01,5.87,34.46,3.7,13.69,NA
68,D,Horiminori,Pin,D-P01,5.1,26.01,2.98,8.88,NA
69,D,Horiminori,Pin,D-P01,1.45,2.1,4.45,19.8,15
70,D,Horiminori,Pin,D-P01,10.48,109.83,2.62,6.86,NA
71,D,Horiminori,Pin,D-P01,7.66,58.68,3.53,12.46,NA
72,D,Horiminori,Pin,D-P01,9.92,98.41,3.1,9.61,40
73,D,Horiminori,Pin,D-P01,7.8,60.84,24.41,595.85,NA
74,D,Horiminori,Pin,D-P01,8.7,75.69,20.4,416.16,273
75,D,Horiminori,Pin,D-P01,9.62,92.54,4.23,17.89,NA
76,D,Horiminori,Pin,D-P01,8.45,71.4,3.31,10.96,NA
77,D,Horiminori,Pin,D-P01,7.52,56.55,3.32,11.02,32
78,D,Horiminori,Pin,D-P02,3.02,9.12,5.83,33.99,NA
79,D,Horiminori,Pin,D-P02,5.36,28.73,2.7,7.29,NA
80,D,Horiminori,Pin,D-P02,5.8,33.64,3.05,9.3,NA
81,D,Horiminori,Pin,D-P02,6.19,38.32,9.81,96.24,100
82,D,Horiminori,Pin,D-P02,11.65,135.72,5.22,27.25,48
83,D,Horiminori,Pin,D-P02,9.06,82.08,4.46,19.89,NA
84,D,Horiminori,Pin,D-P02,13.44,180.63,2.6,6.76,38
85,D,Horiminori,Pin,D-P02,3.17,10.05,3.41,11.63,NA
86,D,Horiminori,Pin,D-P02,11.1,123.21,3.46,11.97,NA
87,D,Horiminori,Pin,D-P02,7.85,61.62,28.2,795.24,276
88,D,Horiminori,Pin,D-P02,7.09,50.27,12.61,159.01,NA
89,D,Horiminori,Pin,D-P02,9.6,92.16,5.01,25.1,NA
90,D,Horiminori,Pin,D-P02,8.12,65.93,11.61,134.79,62
91,D,Horiminori,Pin,D-P02,10.81,116.86,6.79,46.1,83
92,D,Horiminori,Pin,D-P02,4.85,23.52,8.85,78.32,NA
93,D,Horiminori,Pin,D-P02,5.77,33.29,23.28,541.96,NA
94,D,Horiminori,Pin,D-P02,6.28,39.44,12.62,159.26,NA
95,D,Horiminori,Pin,D-P02,10.74,115.35,3.46,11.97,NA
96,D,Horiminori,Pin,D-P02,10.88,118.37,4.55,20.7,NA
97,D,Horiminori,Pin,D-P02,7.31,53.44,4.16,17.31,NA
98,D,Horiminori,Pin,D-P03,13.66,186.6,6.38,40.7,55
99,D,Horiminori,Pin,D-P03,12.37,153.02,2.39,5.71,41
100,D,Horiminori,Pin,D-P03,NA,NA,NA,NA,47
101,D,Horiminori,Pin,D-P03,15.39,236.85,3.98,15.84,55
102,D,Horiminori,Pin,D-P03,4.38,19.18,23.46,550.37,190
103,D,Horiminori,Thrum,D-T01,10.77,115.99,2.7,7.29,NA
104,D,Horiminori,Thrum,D-T01,7.78,60.53,24.32,591.46,NA
105,D,Horiminori,Thrum,D-T01,10.94,119.68,3.96,15.68,NA
106,D,Horiminori,Thrum,D-T01,13.05,170.3,4.13,17.06,NA
107,D,Horiminori,Thrum,D-T01,14.36,206.21,5.65,31.92,NA
108,D,Horiminori,Thrum,D-T01,7.22,52.13,13.04,170.04,NA
109,D,Horiminori,Thrum,D-T01,4.24,17.98,12.07,145.68,NA
110,D,Horiminori,Thrum,D-T01,3.75,14.06,5.38,28.94,10
111,D,Horiminori,Thrum,D-T01,13.23,175.03,6,36,69
112,D,Horiminori,Thrum,D-T01,7.08,50.13,9.21,84.82,58
113,D,Horiminori,Thrum,D-T01,11.36,129.05,5.96,35.52,55
114,D,Horiminori,Thrum,D-T02,8.6,73.96,13.02,169.52,NA
115,D,Horiminori,Thrum,D-T02,13.71,187.96,4.43,19.62,NA
116,D,Horiminori,Thrum,D-T02,13.69,187.42,6.09,37.09,NA
117,D,Horiminori,Thrum,D-T02,8.89,79.03,6.07,36.84,NA
118,D,Horiminori,Thrum,D-T02,5.37,28.84,9.4,88.36,NA
119,D,Horiminori,Thrum,D-T02,16.71,279.22,6.11,37.33,90
120,D,Horiminori,Thrum,D-T02,14.37,206.5,4.77,22.75,83
121,D,Horiminori,Thrum,D-T02,8.17,66.75,21.19,449.02,290
122,D,Horiminori,Thrum,D-T03,4.91,24.11,19.73,389.27,NA
123,D,Horiminori,Thrum,D-T03,2.22,4.93,3.22,10.37,NA
124,D,Horiminori,Thrum,D-T03,16.9,285.61,7.16,51.27,NA
125,D,Horiminori,Thrum,D-T03,4.74,22.47,4.19,17.56,NA
126,D,Horiminori,Thrum,D-T03,15.02,225.6,5.85,34.22,NA
127,D,Horiminori,Thrum,D-T03,5.36,28.73,4.78,22.85,21
128,D,Horiminori,Thrum,D-T03,13.26,175.83,4.31,18.58,41
129,D,Horiminori,Thrum,D-T03,18.27,333.79,3.61,13.03,46
130,F,Kitawase,Pin,F-P01,10.51,110.46,3.24,10.5,NA
