No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower,estimate00,mixed
1,E,Horiminori,Pin,E-P01,19.64,385.73,13.64,186.05,242,286.3507529,242
2,E,Horiminori,Pin,E-P01,6.53,42.64,4.76,22.66,24,42.72544211,24
3,E,Horiminori,Pin,E-P01,4.94,24.4,2.82,7.95,4,-7.218010934,4
4,E,Horiminori,Pin,E-P01,4.9,24.01,2.24,5.02,5,-19.19079828,5
5,E,Horiminori,Pin,E-P01,5.87,34.46,4.66,21.72,8,35.65316868,8
6,E,Horiminori,Pin,E-P01,5.27,27.77,3.13,9.8,12,1.522449734,12
7,E,Horiminori,Pin,E-P01,7.09,50.27,4.3,18.49,11,38.48899153,11
8,E,Horiminori,Pin,E-P01,11.95,142.8,7.55,57,15,135.0014503,15
9,E,Horiminori,Pin,E-P01,18.69,349.32,5.44,29.59,67,151.1184229,67
10,E,Horiminori,Pin,E-P01,16.26,264.39,3.9,15.21,NA,103.1380801,103
11,E,Horiminori,Pin,E-P01,7.56,57.15,4.62,21.34,NA,48.22804112,48
12,E,Horiminori,Pin,E-P01,11.72,137.36,5.2,27.04,NA,91.78431717,92
13,E,Horiminori,Pin,E-P02,16.51,272.58,6.27,39.31,65,148.8357124,65
14,E,Horiminori,Pin,E-P02,2.79,7.78,6.57,43.16,8,45.96467254,8
15,E,Horiminori,Pin,E-P02,22.25,495.06,7.62,58.06,78,217.3709798,78
16,E,Horiminori,Pin,E-P02,21.13,446.48,6.76,45.7,83,193.8401887,83
17,E,Horiminori,Pin,E-P03,13.31,177.16,18.89,356.83,NA,295.4891728,295
18,E,Horiminori,Pin,E-P03,15.09,227.71,5.42,29.38,NA,122.3743915,122
19,E,Horiminori,Pin,E-P03,12.46,155.25,6.68,44.62,NA,124.1083825,124
20,E,Horiminori,Pin,E-P03,16.45,270.6,6.89,47.47,NA,159.2040242,159
21,E,Horiminori,Pin,E-P03,11.82,139.71,5.59,31.25,NA,99.68947035,100
22,E,Horiminori,Pin,E-P03,7.94,63.04,4.97,24.7,NA,57.74512975,58
23,E,Horiminori,Pin,E-P03,15.71,246.8,5.34,28.52,NA,125.800536,126
24,E,Horiminori,Pin,E-P03,7.88,62.09,7.9,62.41,NA,108.7806279,109
25,E,Horiminori,Pin,E-P03,13.57,184.14,6.51,42.38,76,129.8862343,76
26,E,Horiminori,Pin,E-P03,13.42,180.1,4.37,19.1,108,89.70982419,108
27,E,Horiminori,Pin,E-P03,15.49,239.94,5.03,25.3,95,118.36862,95
28,E,Horiminori,Pin,E-P03,14.77,218.15,9.89,97.81,213,194.9208334,213
29,E,Horiminori,Thrum,E-T01,5.25,27.56,5.34,28.52,NA,43.3491156,43
30,E,Horiminori,Thrum,E-T01,6.39,40.83,4.58,20.98,NA,38.25239021,38
31,E,Horiminori,Thrum,E-T01,5.27,27.77,5.37,28.84,NA,44.05545961,44
32,E,Horiminori,Thrum,E-T01,21.84,476.99,7,49,NA,203.5878852,204
33,E,Horiminori,Thrum,E-T01,14.9,222.01,6.35,40.32,NA,137.5575129,138
34,E,Horiminori,Thrum,E-T01,13.95,194.6,6.6,43.56,NA,134.4567886,134
35,E,Horiminori,Thrum,E-T01,12.26,150.31,9.68,93.7,NA,171.8973769,172
36,E,Horiminori,Thrum,E-T01,16.93,286.62,11.34,128.6,NA,233.5295525,234
37,E,Horiminori,Thrum,E-T01,16.28,265.04,13.42,180.1,NA,257.0027797,257
38,E,Horiminori,Thrum,E-T01,17.84,318.27,16.6,275.56,360,307.6305536,360
39,E,Horiminori,Thrum,E-T01,5.76,33.18,5.32,28.3,30,47.00556637,30
40,E,Horiminori,Thrum,E-T01,NA,NA,NA,NA,195,NA,195
41,E,Horiminori,Thrum,E-T01,7.05,49.7,6.95,48.3,40,86.1442627,40
42,E,Horiminori,Thrum,E-T01,7.79,60.68,10.88,118.37,95,154.7851721,95
43,E,Horiminori,Thrum,E-T02,7.89,62.25,4.3,18.49,9,44.79502751,9
44,E,Horiminori,Thrum,E-T02,4.27,18.23,8.83,77.97,NA,95.51671034,96
45,E,Horiminori,Thrum,E-T02,20.32,412.9,7.73,59.75,NA,204.0030536,204
46,E,Horiminori,Thrum,E-T02,15.41,237.47,7.49,56.1,NA,161.2614512,161
47,E,Horiminori,Thrum,E-T02,16.27,264.71,7.3,53.29,NA,164.8178025,165
48,E,Horiminori,Thrum,E-T02,17.25,297.56,7.22,52.13,NA,171.1783343,171
49,E,Horiminori,Thrum,E-T02,9.78,95.65,4.88,23.81,41,70.58037655,41
50,E,Horiminori,Thrum,E-T02,14.59,212.87,9.2,84.64,170,182.7542307,170
51,E,Horiminori,Thrum,E-T02,11.68,136.42,9.89,97.81,112,170.5637694,112
52,E,Horiminori,Thrum,E-T02,19.91,396.41,17.91,320.77,224,337.8414106,224
53,E,Horiminori,Thrum,E-T03,6.39,40.83,3.59,12.89,11,19.34959185,11
54,E,Horiminori,Thrum,E-T03,15.56,242.11,5.46,29.81,NA,126.8097043,127
55,E,Horiminori,Thrum,E-T03,16.83,283.25,5.54,30.69,NA,138.2751251,138
56,E,Horiminori,Thrum,E-T03,13.95,194.6,4.35,18.92,NA,93.51103638,94
57,E,Horiminori,Thrum,E-T03,19.07,363.66,4.38,19.18,NA,134.437694,134
58,E,Horiminori,Thrum,E-T03,15.64,244.61,12.45,155,NA,238.9709437,239
59,E,Horiminori,Thrum,E-T03,4.19,17.56,2.77,7.67,5,-14.12604157,5
